Date,Watch time (hours)
2019-09-19,0.3461
2019-09-20,0.4146
2019-09-21,0.7491
2019-09-22,0.5875
2019-09-23,0.4263
2019-09-24,0.3271
2019-09-25,0.7996
2019-09-26,0.6381
2019-09-27,0.6106
2019-09-28,0.4743
2019-09-29,0.6894
2019-09-30,0.3276
2019-10-01,0.5169
2019-10-02,0.6452
2019-10-03,0.2138
2019-10-04,0.8581
2019-10-05,0.7374
2019-10-06,0.5947
2019-10-07,0.3295
2019-10-08,0.4064
2019-10-09,0.4196
2019-10-10,0.4248
2019-10-11,0.892
2019-10-12,0.7096
2019-10-13,0.6026
2019-10-14,0.6629
2019-10-15,0.3694
2019-10-16,0.4311
2019-10-17,0.3704
2019-10-18,0.2787
2019-10-19,2.1334
2019-10-20,0.8536
2019-10-21,0.36
2019-10-22,0.6559
2019-10-23,0.2383
2019-10-24,0.3485
2019-10-25,0.3747
2019-10-26,0.417
2019-10-27,0.3362
2019-10-28,0.2569
2019-10-29,0.3288
2019-10-30,0.2658
2019-10-31,0.5418
2019-11-01,0.9192
2019-11-02,0.698
2019-11-03,0.3198
2019-11-04,0.3023
2019-11-05,0.3379
2019-11-06,0.4066
2019-11-07,0.3593
2019-11-08,0.251
2019-11-09,0.4019
2019-11-10,0.3428
2019-11-11,0.2003
2019-11-12,0.3151
2019-11-13,0.3744
2019-11-14,0.1552
2019-11-15,0.2535
2019-11-16,0.2204
2019-11-17,0.0014
2019-11-18,0
2019-11-19,0
2019-11-20,0
2019-11-21,0
2019-11-22,0.0007
2019-11-23,0.0373
2019-11-24,0.8721
2019-11-25,0.3326
2019-11-26,0.6366
2019-11-27,0.5131
2019-11-28,0.389
2019-11-29,1.1805
2019-11-30,0.7377
2019-12-01,0.4133
2019-12-02,0.3052
2019-12-03,0.2671
2019-12-04,0.3153
2019-12-05,0.147
2019-12-06,0.2914
2019-12-07,0.4829
2019-12-08,0.3976
2019-12-09,0.2757
2019-12-10,0.3069
2019-12-11,0.2603
2019-12-12,0.3397
2019-12-13,0.3797
2019-12-14,0.5994
2019-12-15,0.5874
2019-12-16,0.3944
2019-12-17,0.4578
2019-12-18,0.6592
2019-12-19,0.7386
2019-12-20,0.8427
2019-12-21,0.6576
2019-12-22,0.4957
2019-12-23,0.7819
2019-12-24,0.5595
2019-12-25,0.3843
2019-12-26,0.4272
2019-12-27,0.5221
2019-12-28,0.7237
2019-12-29,1.0618
2019-12-30,0.8775
2019-12-31,0.4758
2020-01-01,0.8876
2020-01-02,3.6591
2020-01-03,1.7316
2020-01-04,1.616
2020-01-05,0.7475
2020-01-06,0.7507
2020-01-07,0.6102
2020-01-08,0.5577
2020-01-09,0.7008
2020-01-10,0.2478
2020-01-11,0.5089
2020-01-12,0.6024
2020-01-13,0.4683
2020-01-14,0.3669
2020-01-15,0.4599
2020-01-16,0.3242
2020-01-17,0.5479
2020-01-18,0.9264
2020-01-19,0.8429
2020-01-20,0.3019
2020-01-21,0.2983
2020-01-22,0.2215
2020-01-23,0.3113
2020-01-24,0.5264
2020-01-25,0.6499
2020-01-26,0.4325
2020-01-27,0.5023
2020-01-28,0.3196
2020-01-29,0.1867
2020-01-30,0.3098
2020-01-31,0.2961
2020-02-01,0.3837
2020-02-02,0.3755
2020-02-03,0.176
2020-02-04,0.4215
2020-02-05,0.2975
2020-02-06,0.3383
2020-02-07,0.1479
2020-02-08,0.7278
2020-02-09,0.4622
2020-02-10,0.2787
2020-02-11,0.1824
2020-02-12,0.2712
2020-02-13,0.2097
2020-02-14,0.1766
2020-02-15,0.7229
2020-02-16,0.3972
2020-02-17,0.4217
2020-02-18,0.2009
2020-02-19,0.1351
2020-02-20,0.4889
2020-02-21,0.2275
2020-02-22,0.362
2020-02-23,0.7497
2020-02-24,0.4332
2020-02-25,0.7882
2020-02-26,0.4588
2020-02-27,0.7306
2020-02-28,0.5642
2020-02-29,0.4564
2020-03-01,0.5614
2020-03-02,0.455
2020-03-03,0.2834
2020-03-04,0.7653
2020-03-05,0.3424
2020-03-06,0.674
2020-03-07,2.5531
2020-03-08,0.6611
2020-03-09,0.74
2020-03-10,0.3666
2020-03-11,0.5077
2020-03-12,0.367
2020-03-13,1.1819
2020-03-14,0.8297
2020-03-15,0.96
2020-03-16,1.0381
2020-03-17,0.5944
2020-03-18,0.875
2020-03-19,0.8636
2020-03-20,0.8336
2020-03-21,0.7972
2020-03-22,1.4118
2020-03-23,0.3767
2020-03-24,0.4632
2020-03-25,0.4975
2020-03-26,0.6649
2020-03-27,0.7381
2020-03-28,0.483
2020-03-29,0.6865
2020-03-30,0.9029
2020-03-31,0.8986
2020-04-01,1.3189
2020-04-02,1.1103
2020-04-03,2.0293
2020-04-04,1.9929
2020-04-05,1.7742
2020-04-06,1.1689
2020-04-07,1.365
2020-04-08,1.1349
2020-04-09,0.9632
2020-04-10,1.4005
2020-04-11,1.5309
2020-04-12,1.4236
2020-04-13,0.8431
2020-04-14,1.551
2020-04-15,0.8852
2020-04-16,0.965
2020-04-17,0.8039
2020-04-18,1.2049
2020-04-19,1.0704
2020-04-20,0.9184
2020-04-21,0.8301
2020-04-22,0.8535
2020-04-23,0.8205
2020-04-24,0.7612
2020-04-25,1.4801
2020-04-26,1.4856
2020-04-27,0.6914
2020-04-28,0.9941
2020-04-29,1.3062
2020-04-30,0.9655
2020-05-01,1.1269
2020-05-02,1.1224
2020-05-03,0.9001
2020-05-04,1.0734
2020-05-05,0.4569
2020-05-06,1.4588
2020-05-07,1.2462
2020-05-08,0.4399
2020-05-09,0.7615
2020-05-10,1.1171
2020-05-11,0.5939
2020-05-12,0.3981
2020-05-13,0.4776
2020-05-14,0.2805
2020-05-15,0.777
2020-05-16,0.9561
2020-05-17,0.7957
2020-05-18,0.4275
2020-05-19,0.9458
2020-05-20,0.6671
2020-05-21,0.77
2020-05-22,2.1173
2020-05-23,1.0729
2020-05-24,0.726
2020-05-25,0.8662
2020-05-26,0.6534
2020-05-27,0.4624
2020-05-28,0.8761
2020-05-29,1.2209
2020-05-30,1.3439
2020-05-31,0.7036
2020-06-01,0.7956
2020-06-02,0.7967
2020-06-03,0.7366
2020-06-04,0.6974
2020-06-05,0.6232
2020-06-06,0.4706
2020-06-07,0.5416
2020-06-08,0.697
2020-06-09,0.6846
2020-06-10,0.5116
2020-06-11,3.3799
2020-06-12,1.5868
2020-06-13,1.0281
2020-06-14,0.6732
2020-06-15,1.121
2020-06-16,1.1636
2020-06-17,0.9364
2020-06-18,0.6467
2020-06-19,0.9719
2020-06-20,0.5105
2020-06-21,0.6557
2020-06-22,0.4861
2020-06-23,0.4277
2020-06-24,0.5222
2020-06-25,0.5799
2020-06-26,0.5917
2020-06-27,0.7122
2020-06-28,0.9458
2020-06-29,0.6941
2020-06-30,0.5516
2020-07-01,0.6007
2020-07-02,0.4819
2020-07-03,0.7263
2020-07-04,0.4634
2020-07-05,0.6573
2020-07-06,0.3745
2020-07-07,0.1831
2020-07-08,0.5737
2020-07-09,0.3672
2020-07-10,3.7105
2020-07-11,1.1194
2020-07-12,1.1205
2020-07-13,0.8676
2020-07-14,0.5852
2020-07-15,0.4637
2020-07-16,0.6654
2020-07-17,0.5109
2020-07-18,0.3778
2020-07-19,0.4705
2020-07-20,0.5741
2020-07-21,0.5138
2020-07-22,0.3843
2020-07-23,0.8654
2020-07-24,0.5431
2020-07-25,0.7798
2020-07-26,0.7223
2020-07-27,0.9296
2020-07-28,0.7792
2020-07-29,0.5437
2020-07-30,11.288
2020-07-31,10.6759
2020-08-01,3.8965
2020-08-02,4.579
2020-08-03,3.3935
2020-08-04,1.8682
2020-08-05,3.0477
2020-08-06,2.2854
2020-08-07,2.6232
2020-08-08,3.7267
2020-08-09,2.5942
2020-08-10,2.6712
2020-08-11,3.6061
2020-08-12,3.3193
2020-08-13,2.1602
2020-08-14,1.9354
2020-08-15,2.3293
2020-08-16,2.2088
2020-08-17,1.822
2020-08-18,1.3381
2020-08-19,1.8011
2020-08-20,1.9651
2020-08-21,3.2352
2020-08-22,2.7151
2020-08-23,1.888
2020-08-24,2.2893
2020-08-25,2.6728
2020-08-26,2.1633
2020-08-27,2.1073
2020-08-28,1.4848
2020-08-29,2.3108
2020-08-30,2.6339
2020-08-31,2.8063
2020-09-01,1.5194
2020-09-02,1.6509
2020-09-03,1.6985
2020-09-04,2.3216
2020-09-05,2.2209
2020-09-06,2.1857
2020-09-07,1.8644
2020-09-08,1.5892
2020-09-09,1.7805
2020-09-10,2.151
2020-09-11,1.9829
2020-09-12,1.7169
2020-09-13,1.8071
2020-09-14,1.9687
2020-09-15,1.3062
2020-09-16,1.1048
2020-09-17,1.3222
2020-09-18,1.4214
2020-09-19,2.0306
2020-09-20,1.9232
2020-09-21,1.7285
2020-09-22,2.0013
2020-09-23,1.9944
2020-09-24,2.145
2020-09-25,1.7612
2020-09-26,2.2359
2020-09-27,2.8837
2020-09-28,2.7672
2020-09-29,2.6717
2020-09-30,2.2978
2020-10-01,1.6861
2020-10-02,2.2959
2020-10-03,2.1907
2020-10-04,1.9327
2020-10-05,2.2253
2020-10-06,1.5119
2020-10-07,2.3474
2020-10-08,1.0039
2020-10-09,1.7435
2020-10-10,3.3773
2020-10-11,2.1619
2020-10-12,1.3817
2020-10-13,1.9885
2020-10-14,1.6176
2020-10-15,1.2195
2020-10-16,0.982
2020-10-17,1.2904
2020-10-18,1.177
2020-10-19,1.1828
2020-10-20,1.0009
2020-10-21,0.8997
2020-10-22,0.9527
2020-10-23,1.5801
2020-10-24,1.345
2020-10-25,1.3212
2020-10-26,1.0961
2020-10-27,0.8849
2020-10-28,1.3922
2020-10-29,1.0823
2020-10-30,0.8615
2020-10-31,0.8516
2020-11-01,0.9815
2020-11-02,1.2805
2020-11-03,1.1222
2020-11-04,1.1311
2020-11-05,1.3813
2020-11-06,1.5938
2020-11-07,1.3818
2020-11-08,0.9222
2020-11-09,5.3464
2020-11-10,1.4241
2020-11-11,1.4753
2020-11-12,0.9354
2020-11-13,0.7057
2020-11-14,1.4786
2020-11-15,5.4198
2020-11-16,2.7626
2020-11-17,1.7033
2020-11-18,1.932
2020-11-19,2.0024
2020-11-20,1.2402
2020-11-21,1.3141
2020-11-22,1.3085
2020-11-23,1.3269
2020-11-24,1.6607
2020-11-25,1.3334
2020-11-26,1.3513
2020-11-27,1.5996
2020-11-28,1.4677
2020-11-29,1.3016
2020-11-30,1.3488
2020-12-01,0.835
2020-12-02,1.1618
2020-12-03,1.0878
2020-12-04,1.1346
2020-12-05,1.1254
2020-12-06,1.3913
2020-12-07,1.0215
2020-12-08,0.9724
2020-12-09,0.8888
2020-12-10,1.5792
2020-12-11,1.1635
2020-12-12,0.6706
2020-12-13,1.021
2020-12-14,1.2422
2020-12-15,0.9934
2020-12-16,1.8897
2020-12-17,4.7057
2020-12-18,2.7452
2020-12-19,2.2233
2020-12-20,1.8365
2020-12-21,1.7432
2020-12-22,1.6009
2020-12-23,1.4328
2020-12-24,0.9428
2020-12-25,1.6205
2020-12-26,0.9052
2020-12-27,1.4585
2020-12-28,1.6027
2020-12-29,1.2207
2020-12-30,1.749
2020-12-31,3.5755
2021-01-01,2.6459
2021-01-02,1.6665
2021-01-03,1.2279
2021-01-04,1.458
2021-01-05,1.1173
2021-01-06,1.3527
2021-01-07,1.2018
2021-01-08,1.4045
2021-01-09,0.7591
2021-01-10,1.1983
2021-01-11,1.28
2021-01-12,1.5664
2021-01-13,0.9321
2021-01-14,1.1844
2021-01-15,0.805
2021-01-16,1.4111
2021-01-17,1.5139
2021-01-18,0.9169
2021-01-19,1.1161
2021-01-20,1.4447
2021-01-21,1.2764
2021-01-22,1.4518
2021-01-23,1.1265
2021-01-24,1.0104
2021-01-25,1.4375
2021-01-26,0.7256
2021-01-27,0.7181
2021-01-28,0.5547
2021-01-29,0.6696
2021-01-30,0.8035
2021-01-31,0.9292
2021-02-01,0.9026
2021-02-02,0.6029
2021-02-03,1.0866
2021-02-04,0.5719
2021-02-05,0.4904
2021-02-06,0.6304
2021-02-07,0.5581
2021-02-08,0.2489
2021-02-09,0.2578
2021-02-10,0.6621
2021-02-11,0.782
2021-02-12,0.7452
2021-02-13,0.617
2021-02-14,0.4409
2021-02-15,0.4503
2021-02-16,0.5242
2021-02-17,0.5583
2021-02-18,1.199
2021-02-19,1.1309
2021-02-20,0.6422
2021-02-21,0.4546
2021-02-22,0.5639
2021-02-23,0.3827
2021-02-24,0.4288
2021-02-25,0.7894
